Sponsor Name,Site Name,Site Street Address,Site City,Site State,Site Zip,Site Contact,Site Phone,Meal Types,Start Date,End Date,Site Program,Site Type
SAN DIEGO UNIFIED SCHOOL DISTRICT,STOCKTON REC CENTER,330 32ND STREET,SAN DIEGO,CA,92102,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,TIERRASANTA PARK & REC,11220 CLAIREMONT MESA BLVD,SAN DIEGO,CA,92124,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,TWAIN HIGH,6402 LINDA VISTA RD.,SAN DIEGO,CA,92111-7320,JENNIFER MARRONE,858-627-7332,"B, L",6/27/2016,8/5/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,WANGENHEIM MIDDLE,9230 GOLD COAST DR.,SAN DIEGO,CA,92126-3799,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/22/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,WATERFRONT,1600 PACIFIC HIGHWAY,SAN DIEGO,CA,92101,JENNIFER MARRONE,858-627-7332,L,6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,WILLIE HENDERSON SPORTS COMPLEX,1035 S. 45TH STREET,SAN DIEGO,CA,92113,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,ZAMORANO ELEMENTARY,2655 CASEY ST.,SAN DIEGO,CA,92139-2989,JENNIFER MARRONE,858-627-7332,"B, L",7/25/2016,8/19/2016,SSFO,OPEN
SAN MARCOS UNIFIED SCHOOL DISTRICT,ALVIN M. DUNN ELEMENTARY,3697 LA MIRADA DR.,SAN MARCOS,CA,92078-2312,DENA ENGLAND,760-752-1250,"B, L",6/27/2016,7/29/2016,SSFO,OPEN
SAN MARCOS UNIFIED SCHOOL DISTRICT,JOLI ANN LEICHTAG ELEMENTARY,653 POINSETTIA AVE.,VISTA,CA,92081-8113,DENA ENGLAND,760-752-1250,L,6/27/2016,7/29/2016,SSFO,OPEN
SAN MARCOS UNIFIED SCHOOL DISTRICT,SAN MARCOS ELEMENTARY,1 TIGER WAY,SAN MARCOS,CA,92069-2703,DENA ENGLAND,760-752-1250,"B, L",6/27/2016,8/12/2016,SSFO,OPEN
SAN MARCOS UNIFIED SCHOOL DISTRICT,SAN MARCOS HIGH,1615 SAN MARCOS BLVD.,SAN MARCOS,CA,92078-4020,DENA ENGLAND,760-752-1250,L,6/27/2016,8/4/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,BAYSIDE ELEMENTARY,490 EMORY ST.,IMPERIAL BEACH,CA,91932-1524,KAREN DENSMORE,619-628-5396,"L, AM",6/27/2016,7/15/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,BOYS AND GIRLS CLUB IMPERIAL BEACH,847 ENCINA AVENUE,IMPERIAL BEACH,CA,91932,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,CASA DE FAMILIA,212 E. PARK AVE.,SAN YSIDRO,CA,92173,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,CENTRAL ELEMENTARY,1290 EBONY AVE.,IMPERIAL BEACH,CA,91932-2920,KAREN DENSMORE,619-628-5396,"L, AM",6/27/2016,7/15/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,CESAR CHAVEZ COMMUNITY CENTER,455 SYCAMORE ROAD,SAN YSIDRO,CA,92173,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,GODFREY G. BERRY ELEMENTARY,2001 RIMBEY ST.,SAN DIEGO,CA,92154-3032,KAREN DENSMORE,619-628-5396,"L, AM",6/27/2016,7/15/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,IMPERIAL BEACH CHARTER,650 IMPERIAL BEACH BLVD.,IMPERIAL BEACH,CA,91932-2706,KAREN DENSMORE,619-628-5396,"B, L",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,MONTGOMERY WALLER RECREACTION CENTER,3020 CORONADO AVENUE,SAN DIEGO,CA,92154,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,OTAY RECREATION CENTER,3354 MAIN STREET,CHULA VISTA,CA,91911,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/15/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,ROBERT EGGER SR. SOUTH BAY RECREATION CENTER,1885 CORONADO AVE.,SAN DIEGO,CA,92154,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,SAN YSIDRO COMMUNITY ACTIVITY CENTER,179 DIZA ROAD,SAN YSIDRO,CA,92173,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,SILVER WING RECREATION CENTER,3737 AREY DRIVE,SAN DIEGO,CA,92154,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,SPORTS PARK OF IMPERIAL BEACH,425 IMPERIAL BEACH BLVD,IMPERIAL BEACH,CA,91932,KAREN DENSMORE,619-628-5396,"L, PM",6/13/2016,7/19/2016,SSFO,OPEN
SOUTH BAY UNION SCHOOL DISTRICT,SUNNYSLOPE ELEMENTARY,2500 ELM AVE.,SAN DIEGO,CA,92154-1498,KAREN DENSMORE,619-628-5396,"L, AM",6/27/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,CASTLE PARK MIDDLE,160 QUINTARD ST.,CHULA VISTA,CA,91911-4414,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,CHULA VISTA MIDDLE,415 FIFTH AVE.,CHULA VISTA,CA,91910-4305,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,CHULA VISTA SENIOR HIGH,820 FOURTH AVE.,CHULA VISTA,CA,91911-1102,ERIC SPAN,619-691-5510,L,6/13/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,GRANGER JUNIOR HIGH,2101 GRANGER AVE.,NATIONAL CITY,CA,91950-6299,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,HILLTOP MIDDLE,44 EAST J ST.,CHULA VISTA,CA,91910-6115,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,MAR VISTA ACADEMY,1267 THERMAL AVE.,SAN DIEGO,CA,92154-2802,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,MONTGOMERY MIDDLE,1051 PICADOR BLVD.,SAN DIEGO,CA,92154-3548,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,NATIONAL CITY MIDDLE,1701 D AVE.,NATIONAL CITY,CA,91950-4535,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,SAN YSIDRO ADULT EDUCATION CENTER,4220 OTAY MESA RD.,SAN YSIDRO,CA,92173,ERIC SPAN,619-691-5510,L,6/13/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,SOUTHWEST MIDDLE,2710 IRIS ST.,SAN DIEGO,CA,92154-3338,ERIC SPAN,619-691-5510,L,6/6/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,SOUTHWEST SENIOR HIGH,1685 HOLLISTER ST.,SAN DIEGO,CA,92154-4548,ERIC SPAN,619-691-5510,L,6/13/2016,7/15/2016,SSFO,OPEN
SWEETWATER UNION HIGH SCHOOL DISTRICT,SWEETWATER HIGH,2900 HIGHLAND AVE.,NATIONAL CITY,CA,91950-7415,ERIC SPAN,619-691-5510,L,6/13/2016,7/15/2016,SSFO,OPEN
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",UPWARD BOUND #1,UCSD UPWARD BOUND #1 9500 GILMAN DRIVE #0341,LA JOLLA,CA,92093-0341,CARRI FIERRO,858-822-3471,"B, L, S",6/19/2016,7/9/2016,SFSP,CAMP
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",UPWARD BOUND #2,UCSD UPWARD BOUND #2 9500 GILMAN DRIVE #0341,LA JOLLA,CA,92093,CARRI FIERRO,858-822-3471,"B, L, S",7/10/2016,7/29/2016,SFSP,CAMP
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",UPWARD BOUND MATH SCIENCE #1,UCSD UPWARD BOUND MATH SCIENCE #1 9500 GILMAN DRIVE #0341,LA JOLLA,CA,92093-0341,CARRI FIERRO,858-822-3471,"B, L, S",7/10/2016,7/29/2016,SFSP,CAMP
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",UPWARD BOUND MATH SCIENCE #2,UCSD UPWARD BOUND MATH SCIENCE #2 9500 GILMAN DRIVE #0341,LA JOLLA,CA,92093-0341,CARRI FIERRO,858-822-3471,"B, L, S",7/10/2016,7/29/2016,SFSP,CAMP
UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,UNIVERSITY OF SAN DIEGO STUDENT SUPPORT SERVICES BRIDGE,"UNIVERSITY OF SAN DIEGO STUDENT SUPPORT SERVICES BRIDGE 5998 ALCALA PARK, BARCELONA 301",SAN DIEGO,CA,92110,RYAN JUMAMIL,619-260-7581,"B, L, S",8/20/2016,8/26/2016,SFSP,CAMP
UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,"UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND 5998 ALCALA PARK, BARCELONA 301",SAN DIEGO,CA,92110,CYNTHIA VILLIS,619-260-4686,"B, L, S",6/29/2016,7/28/2016,SFSP,CAMP
VISTA UNIFIED SCHOOL DISTRICT,ALTA VISTA HIGH (CONTINUATION),1575 BONAIR DR.,VISTA,CA,92084-3572,BROCK SMITH,760-726-2170 #92401 #9,L,6/6/2016,6/24/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,BOBIER ELEMENTARY,220 WEST BOBIER DR.,VISTA,CA,92083-1903,BROCK SMITH,760-726-2170 #92401 #9,"B, L",6/6/2016,7/29/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,BOYS & GIRLS CLUB,410 W CALIFORNIA AVE,VISTA,CA,92083,BROCK SMITH,760-726-2170 #92401 #9,"L, PM",6/6/2016,8/5/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,BREEZE HILL ELEMENTARY,1111 MELROSE WAY,VISTA,CA,92083-6505,BROCK SMITH,760-726-2170 #92401 #9,L,6/6/2016,8/5/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,CALIFORNIA/SP ED,215 W. CALIFORNIA AVE,VISTA,CA,92083,BROCK SMITH,760-726-2170 #92401 #9,L,6/6/2016,8/5/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,FOOTHILL OAK ELEMENTARY,1370 OAK DR.,VISTA,CA,92084-4001,BROCK SMITH,760-726-2170 #92401 #9,"B, L",6/13/2016,7/29/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,GRAPEVINE ELEMENTARY,630 GRAPEVINE RD.,VISTA,CA,92083-5599,BROCK SMITH,760-726-2170 #92401 #9,"B, L",6/13/2016,7/29/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,HANNALEI ELEMENTARY,120 HANNALEI DR.,VISTA,CA,92083-7625,BROCK SMITH,760-726-2170 #92401 #9,L,6/13/2016,7/29/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,LUZ DURAN PARK,340 E TOWNSITE DRIVE,VISTA,CA,92084,BROCK SMITH,760-726-2170 #92401 #9,L,6/6/2016,8/5/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,MAJOR GENERAL RAYMOND MURRAY HIGH,215 NORTH MELROSE DR.,VISTA,CA,92083-5720,BROCK SMITH,760-726-2170 #92401 #9,L,6/6/2016,6/24/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,MARYLAND ELEMENTARY,700 NORTH AVE.,VISTA,CA,92084-2906,BROCK SMITH,760-726-2170 #92401 #9,L,6/13/2016,7/15/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,RANCHO MINERVA MIDDLE,2245 FOOTHILL DR.,VISTA,CA,92084-6035,BROCK SMITH,760-726-2170 #92401 #9,L,6/27/2016,7/22/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,TEMPLE HEIGHTS ELEMENTARY,1550 TEMPLE HEIGHTS DR.,OCEANSIDE,CA,92056-3066,BROCK SMITH,760-726-2170 #92401 #9,L,6/6/2016,8/5/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,VISTA ADULT TRANSITION CENTER,325 EAST BOBIER DR.,VISTA,CA,92084-3027,BROCK SMITH,760-726-2170 #92401 #9,L,6/27/2016,7/22/2016,SSFO,OPEN
VISTA UNIFIED SCHOOL DISTRICT,"VISTA MAGNET MIDDLE SCHOOL OF TECHNOLOGY, SCIENCE, AND MATH",151 CIVIC CENTER DR.,VISTA,CA,92084-6035,BROCK SMITH,760-724-2170 #92401 #9,L,6/6/2016,6/17/2016,SSFO,OPEN
"VISTA, CITY OF",BRENGLE TERRACE RECREATION CENTER,1200 VALE TERRACE DRIVE,VISTA,CA,92084,KIMBERLY CRAWFORD,760-643-5275,"B, L",6/6/2016,8/12/2016,SFSP,OPEN
